brand,model,year_from,year_to,country,is_popular
Ferrari,"SF90 Stradale",2019,2025,Italy,0
Fiat,"124 Spider",2015,2020,Italy,0
Fiat,500,2007,2025,Italy,0
Fiat,500L,2012,2022,Italy,0
Fiat,500X,2014,2025,Italy,0
Fiat,600e,2023,2025,Italy,0
Fiat,695,2023,2025,Italy,0
Fiat,Albea,2002,2012,Italy,0
Fiat,Argo,2017,2025,Italy,0
Fiat,Brava,1995,2003,Italy,0
Fiat,Bravo,1995,2016,Italy,0
Fiat,Coupe,1993,2009,Italy,0
Fiat,Croma,2005,2011,Italy,0
Fiat,Doblo,2001,2025,Italy,0
Fiat,Ducato,2006,2025,Italy,0
Fiat,E-Doblo,2022,2025,Italy,0
Fiat,E-Ulysse,2022,2025,Italy,0
Fiat,Egea,2015,2025,Italy,0
Fiat,Freemont,2011,2016,Italy,0
Fiat,"Grande Punto",2005,2009,Italy,0
Fiat,Idea,2004,2016,Italy,0
Fiat,Linea,2007,2015,Italy,0
Fiat,Marea,1996,2006,Italy,0
Fiat,Multipla,1998,2010,Italy,0
Fiat,Palio,1996,2017,Italy,0
Fiat,Panda,2003,2025,Italy,0
Fiat,"Panda 4x4",2003,2012,Italy,0
Fiat,"Panda Cross",2014,2025,Italy,0
Fiat,Pulse,2021,2025,Italy,0
Fiat,Punto,1999,2018,Italy,0
Fiat,Qubo,2008,2021,Italy,0
Fiat,Sedici,2005,2014,Italy,0
Fiat,Siena,2014,2021,Italy,0
Fiat,Stilo,2001,2010,Italy,0
Fiat,Strada,2014,2025,Italy,0
Fiat,Tipo,2015,2025,Italy,0
Fiat,Ulysse,2002,2010,Italy,0
Fisker,Karma,2011,2012,Other,0
Ford,B-Max,2012,2017,USA,1
Ford,Bronco,2021,2025,USA,1
Ford,"Bronco Sport",2021,2025,USA,1
Ford,C-Max,2003,2019,USA,1
Ford,Cougar,1998,2004,USA,1
Ford,"Crown Victoria",1999,2011,USA,1
Ford,EcoSport,2003,2025,USA,1
Ford,Edge,2007,2025,USA,1
Ford,Endura,2018,2021,USA,1
Ford,Equator,2021,2025,USA,1
Ford,Escape,2001,2025,USA,1
Ford,Excursion,1999,2005,USA,1
Ford,Expedition,1998,2025,USA,1
Ford,Explorer,1995,2025,USA,1
Ford,"Explorer Sport Trac",2007,2010,USA,1
Ford,F-150,1992,2025,USA,1
Ford,"F-150 Lightning",2022,2025,USA,1
Ford,F-250,2011,2025,USA,1
Ford,F-350,2017,2025,USA,1
Ford,Falcon,2005,2025,USA,1
Ford,Fiesta,2002,2025,USA,1
Ford,"Fiesta Active",2018,2025,USA,1
Ford,"Five Hundred",2005,2007,USA,1
Ford,Flex,2008,2019,USA,1
Ford,Focus,1998,2025,USA,1
Ford,"Focus Active",2018,2025,USA,1
Ford,"Focus Electric",2012,2018,USA,1
Ford,Freestar,2003,2009,USA,1
Ford,Freestyle,2004,2007,USA,1
Ford,Fusion,2002,2012,USA,1
Ford,Galaxy,1995,2025,USA,1
Ford,Ka,2003,2021,USA,1
Ford,Kuga,2008,2025,USA,1
Ford,Maverick,1992,2009,USA,1
Ford,Mondeo,2000,2025,USA,1
Ford,Mustang,1995,2025,USA,1
Ford,"Mustang Mach-E",2020,2025,USA,1
Ford,"Mustang Shelby GT350",2016,2025,USA,1
Ford,"Mustang Shelby GT500",2020,2025,USA,1
Ford,Puma,1997,2025,USA,1
Ford,Ranger,2006,2025,USA,1
Ford,S-Max,2006,2025,USA,1
Ford,Taurus,2000,2025,USA,1
Ford,"Taurus X",2007,2009,USA,1
Ford,Thunderbird,2000,2006,USA,1
Ford,"Tourneo Connect",2002,2025,USA,1
Ford,Transit,2001,2025,USA,1
Ford,"Transit Connect",2002,2025,USA,1
Foton,Sauvana,2015,2020,Other,0
Foton,"Tunland G7",2019,2025,Other,0
GAC,GM8,2018,2023,Other,0
GAC,GN8,2020,2025,Other,0
GAC,GS5,2011,2025,Other,0
GAC,GS8,2017,2025,Other,0
GAZ,3102,1997,2009,Other,0
GAZ,31105,1997,2009,Other,0
GAZ,Gazelle,1994,2010,Other,0
GAZ,"Gazelle Business",2010,2025,Other,0
GAZ,"Gazelle Next",2013,2025,Other,0
GAZ,"Gazelle NN",2019,2025,Other,0
GAZ,"Gazelle Sity",2020,2025,Other,0
GAZ,Siber,2008,2010,Other,0
GAZ,Sobol,2002,2025,Other,0
GAZ,"Sobol NN",2023,2025,Other,0
Geely,Atlas,2017,2025,China,0
Geely,"Atlas Pro",2021,2025,China,0
Geely,Azkarra,2019,2025,China,0
Geely,"Belgee X50",2023,2025,China,0
